Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
24;20;Emil;Kloster Snekkevik;M;NOR;TROMSØ;FE4;M Sport 17+;3:20.0;0:42.0;2018-09-23T16:36:21.9230000;Tromsø
25;59;Samuel;Geiseler;M;GER;Tromsø Enduro;FE4;M Sport 17+;3:22.0;0:44.0;2018-09-23T16:43:15.0410000;Tromsø
26;30;Gaute;Risnes;M;NOR;CK Elverum;FE4;M Sport 17+;3:23.0;0:45.0;2018-09-23T16:27:03.4840000;Elverum
27;46;Kristian;Kjerkreit;M;NOR;Harstad CK / Equinor BIL;FE4;M Sport 17+;3:25.0;0:47.0;2018-09-23T16:41:37.4350000;Harstad
27;23;Martin;Liane;M;NOR;HARSTAD;FE4;M Sport 17+;3:25.0;0:47.0;2018-09-23T16:39:55.3810000;Harstad
29;45;Truls;Haugsmark;M;NOR;Harstad CK;FE4;M Sport 17+;3:28.0;0:50.0;2018-09-23T16:39:00.0280000;Harstad
30;55;Trond;Kleven;M;NOR;Noclue;FE4;M Sport 17+;3:29.0;0:51.0;2018-09-23T16:27:54.7440000;Harstad
31;37;Tor Anders;Grøvan;M;NOR;Harstad CK / Peab;FE4;M Sport 17+;3:32.0;0:54.0;2018-09-23T16:32:36.9880000;Harstad
32;26;Gisle;Enge;M;NOR;HARSTAD;FE4;M Sport 17+;3:33.0;0:55.0;2018-09-23T16:34:34.5870000;Harstad
32;19;Stian;Hallén;M;NOR;HARSTAD;FE4;M Sport 17+;3:33.0;0:55.0;2018-09-23T16:29:58.0270000;Harstad
34;53;Jonas;Aksmo;M;NOR;Lofoten Ekstremsportklubb;FE4;M Sport 17+;3:36.0;0:58.0;2018-09-23T16:38:33.7260000;Gravdal
34;21;Finn;Kuntze;M;NOR;HARSTAD;FE4;M Sport 17+;3:36.0;0:58.0;2018-09-23T16:30:26.4920000;Harstad
36;36;Marius;Stamnes;M;NOR;Harstad CK;FE4;M Sport 17+;3:40.0;1:02.0;2018-09-23T16:29:02.9150000;Harstad
37;25;Roger;Berge;M;NOR;HARSTAD;FE4;M Sport 17+;3:41.0;1:03.0;2018-09-23T16:33:37.0690000;Harstad
38;33;Joachim;Aas;M;NOR;Harstad;FE4;M Sport 17+;3:43.0;1:05.0;2018-09-23T16:41:10.1740000;Harstad
38;31;Lars-Erik M.;Solheim;M;NOR;De Utrente!;FE4;M Sport 17+;3:43.0;1:05.0;2018-09-23T16:40:45.4420000;Harstad
40;29;Glenn Arthur;Kanebog;M;NOR;Circle K Evenes;FE4;M Sport 17+;3:48.0;1:10.0;2018-09-23T16:41:34.1460000;Harstad
41;100;Ole Morten;Tunes;M;NOR;Harstad CK / Testløper HCK Enduro;FE4;M Sport 17+;4:03.0;1:25.0;2018-09-23T16:15:52.9200000;Harstad
42;66;Åge;Bunde;M;NOR;Vestre Slidre IL;FE4;M Sport 17+;4:16.0;1:38.0;2018-09-23T16:33:45.7130000;Slidre
43;49;Gøran;Knaplund;M;NOR;Ishavsbyen Sykkel;FE4;M Sport 17+;5:19.0;2:41.0;2018-09-23T16:43:58.0220000;Tomasjord
44;62;Torben;Havstein;M;NOR;Tromsø Enduro;FE4;M Sport 17+;0:00.0;;;Tromsø
44;32;Anders;Lagerstrøm;M;SWE;Equinor BIL;FE4;M Sport 17+;0:00.0;;;Harstad
46;35;Ørjan;Bohinen;M;NOR;Harstad CK;FE4;M Sport 17+;0:00.0;;;Harstad
46;40;Ronny;Iversen;M;NOR;Harstad CK;FE4;M Sport 17+;0:00.0;;;Harstad
46;43;Emil;Lerdahl;M;NOR;Harstad CK;FE4;M Sport 17+;0:00.0;;;Harstad
46;50;Kenneth;Nilsen;M;NOR;Krokbekken Stisykkelforening;FE4;M Sport 17+;0:00.0;;;Bardufoss
46;16;William;Salminen;M;NOR;HARSTAD;FE4;M Sport 17+;0:00.0;;;Harstad
46;27;Geir-Olav;Skogstad;M;NOR;HARSTAD;FE4;M Sport 17+;0:00.0;;;Harstad
46;51;Alexander;Solem;M;NOR;Krokbekken Stisykkelforening;FE4;M Sport 17+;0:00.0;;;Bardufoss
46;22;Bjørn-Tore;Wik;M;NOR;HARSTAD;FE4;M Sport 17+;0:00.0;;;Harstad
