Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
18;43;Daniel;Jarstø;M;NOR;Klepp Cykle Club;SS4;Menn;05:57;00:58;2014-08-03T14:48:57.8290000;Stavanger
19;19;Yngve;Ydersbond;M;NOR;OSLO;SS4;Menn;05:58;00:59;2014-08-03T14:24:58.2680000;OSLO
20;12;Martin;Tveitnes;M;NOR;EIKELANDSOSEN;SS4;Menn;05:58;00:59;2014-08-03T14:17:58.3620000;EIKELANDSOSEN
21;25;Bendik Stubstad;Henriksen;M;NOR;SK Rye sykkel / Sti5;SS4;Menn;05:58;00:59;2014-08-03T14:30:58.6160000;Oslo
22;17;Karsten;Hjelseth;M;NOR;Tsjuub;SS4;Menn;05:58;00:59;2014-08-03T14:22:58.7940000;Oslo
23;20;Stian;Rånes;M;NOR;Drammen CK;SS4;Menn;05:59;01:00;2014-08-03T14:25:59.3110000;Drammen
24;30;Jonas;Lundin;M;SWE;OSLO;SS4;Menn;06:00;01:01;2014-08-03T14:36:00.6680000;OSLO
25;28;Anton;Odbro;M;SWE;GÖTEBORG;SS4;Menn;06:01;01:02;2014-08-03T14:34:01.7680000;Göteborg
26;31;Andreas;Hauge;M;NOR;Team Hauge;SS4;Menn;06:02;01:03;2014-08-03T14:37:02.6510000;PORSGRUNN
27;46;Ola;Alsterholm;M;NOR;Trysil SK;SS4;Menn;06:04;01:05;2014-08-03T14:52:04.4600000;SOGNDAL
28;22;Tage Rickard;Sundell;M;SWE;SK Rye sykkel / Team Ibis;SS4;Menn;06:05;01:06;2014-08-03T14:28:05.1380000;LEIKANGER
2;38;Sander;Solvær;M;NOR;Kristiansands CK / Cube Action Team;SS4;Menn junior;06:08;01:09;2014-08-03T14:44:08.8450000;KRISTIANSAND S
30;14;Pål;Neverdal;M;NOR;SK Rye sykkel;SS4;Menn;06:10;01:11;2014-08-03T14:20:10.1770000;OSLO
31;36;Arild;Gravdal;M;NOR;Bergen MTB Klubb;SS4;Menn;06:15;01:16;2014-08-03T14:42:15.8840000;Øvre Ervik
3;37;Oscar;Smith;M;NOR;Kristiansands CK / Cube Action Team;SS4;Menn junior;06:20;01:21;2014-08-03T14:43:20.0540000;KRISTIANSAND S
